"SpeciesCode","Axis1","Axis2","Axis3","Axis4","SpeciesName","FG","TempNiche"
"Sp29",-0.575777620020631,0.694780642044586,-0.162695904774565,-0.362345148260737,"Crepis_conyzifolia","Forb",5.7894317243473
"Sp30",-3.06882646656828,0.517121407523136,-0.259383009133073,0.191434000986711,"Crepis_pyrenaica","Forb",8.26468715985728
"Sp31",-1.96508914002312,-1.22103599823242,1.0143396988089,0.100979155351798,"Dactylis_glomerata","Grass",8.10716729285163
"Sp32",1.53684613079998,-1.70064068654229,-1.19323524205465,-0.802459340586198,"Daphne_striata","Shrub",5.03800573011959
"Sp33",2.16159020842687,-0.595397874257025,2.71016648111725,0.268330790257727,"Deschampsia_flexuosa","Grass",5.68198998178506
"Sp34",-0.374317363049209,1.48071947094522,-2.45282033792768,1.49061035887268,"Euphrasia_minima","Forb",5.94858606557377
"Sp35",-0.596830663551379,0.972159524764849,0.0293508164698879,1.58547079917767,"Euphrasia_officinalis","Forb",7.00820256699509
"Sp36",1.16638487150748,-1.07743993635486,1.31165252977496,0.102297157306282,"Festuca_laevigata","Grass",5.88843617348844
"Sp37",0.350574589981212,-0.951861924273091,2.10861702245563,0.744885984619768,"Festuca_nigrescens","Grass",6.5279793794863
"Sp38",0.14741822583996,-1.75029722134816,3.08800588110021,-0.255138815497749,"Festuca_paniculata","Grass",6.83452264838858
"Sp39",-0.652328789716391,-1.1944113784273,1.8398169462117,1.25515847864023,"Festuca_rubra","Grass",7.47163914569436
"Sp40",2.0219547127588,-0.501959542224573,1.87471406610859,-0.350859834480212,"Festuca_violacea","Grass",4.23037054729315
"Sp41",3.61792211352809,-0.476838976184184,-0.382984128943256,-0.182126790058893,"Galium_anisophyllon","Forb",4.46010044220516
"Sp42",-0.887682126575399,0.180623266546643,-0.586365915863941,1.56138100463447,"Galium_mollugo","Forb",7.05804435931636
"Sp43",0.778690707979121,-4.39247430933337,0.398524739883958,3.30161927949033,"Galium_verum","Forb",8.26468715985728
"Sp44",1.29447026384094,0.386858759150328,-0.776093744949673,0.687043476637406,"Gentiana_acaulis","Forb",5.62971899642973
"Sp45",2.22293130281228,-0.755522516813071,1.00443276692929,-1.27366787000643,"Gentiana_verna","Forb",5.68198998178506
"Sp46",-1.38494784239209,0.00797457373096155,-2.09228217630047,1.58275409533853,"Gentianella_campestris","Forb",6.49382786885246
"Sp47",-1.72702186532436,-1.23000078833195,0.704206825812514,-0.213779891968987,"Geranium_sylvaticum","Forb",8.26468715985728
"Sp48",1.49916018741671,0.644581015745157,1.06517247212596,-0.00560373701451365,"Geum_montanum","Forb",5.27593944460682
"Sp49",-0.365821579642189,-0.20083951729365,-0.786846086875004,0.94274307286646,"Helianthemum_grandiflorum","Forb",6.56181861688103
"Sp50",0.81057595977788,-0.385528648954861,1.07930236283028,-0.588230278475597,"Helictotrichon_sedenense","Grass",4.05966557835839
"Sp51",1.65715578059541,1.25976646091315,0.669321062099294,-0.885384947632026,"Hieracium_glaciale","Forb",3.80643230115361
"Sp52",0.281704193471137,1.95036214922163,0.960164666853372,0.926242148905829,"Hieracium_peleterianum","Forb",6.08790892531876
"Sp53",0.554741298812574,2.29611176257753,0.845739864056464,0.586204690764553,"Hieracium_pilosella","Forb",5.62166491883713
"Sp54",-0.774256452650606,2.90235365777866,0.757766288376857,-0.422384311382885,"hieracium_sp","Forb",6.49382786885246
"Sp55",-2.24419624316284,2.16858827830772,-0.258059849992853,0.39224190625867,"Hieracium_villosum","Forb",5.68198998178506
"Sp56",-0.245484564487077,-0.518714592038158,-3.11369753167772,1.0629537302064,"Hippocrepis_comosa","Legumes",6.22120696721311
"Sp57",1.54721368592779,0.868454492356808,0.461795184514308,-0.216925404919334,"Homogyne_alpina","Forb",5.39787928252089
"Sp58",-1.57797573466669,-1.04437166584799,0.383820563391998,1.19112730425758,"Hypericum_maculatum","Forb",7.50785118889053
"Sp59",-2.01369625490006,0.930833951483635,0.662997650239794,-1.86317262902169,"Hypochaeris_maculata","Forb",6.82775787355252
"Sp60",1.91275280698274,-0.482882360530162,0.345636653677968,-0.585034437651106,"Kobresia_myosuroides","Grass",3.92528105407208
"Sp61",-0.657479962400227,-0.691542207898603,0.948279483202646,-0.357971088091641,"Laserpitium_halleri","Forb",6.65756932528265
"Sp62",-2.13034557293107,1.3283769564636,0.438072526867223,-0.330345337129739,"Leontodon_hispidus","Forb",6.44664365561425
