"Hrepro_l","Hveg_l","SLA_l","LDMC_l","LCC_l","LNC_l","LD13C_l","LD15N_l","Hrepro_c","Hveg_c","SLA_c","LDMC_c","LCC_c","LNC_c","LD13C_c","LD15N_c","Hrepro_Tmin","Hveg_Tmin","SLA_Tmin","LDMC_Tmin","LCC_Tmin","LNC_Tmin","LD13C_Tmin","LD15N_Tmin"
-0.823128804779691,-0.836339949056604,-0.504114959508872,0.452020555412096,0.359461099072192,-0.159033515492911,0.455141492445776,-0.26587894950623,-0.545477455787881,-0.728673075243617,-0.0559727239439618,-0.100839693626585,-0.301022517658013,-0.504167114260927,-0.0978185658670392,-0.784871509308713,0.796585521753314,0.877208431420464,0.492439727948344,-0.412765005044313,-0.215175446782763,0.330412819590329,-0.377614613566635,0.449529124978265
-0.814429966532523,-0.833138660137768,-0.515052256975297,0.463655043282892,0.355486319007158,-0.175039550923545,0.458140458892324,-0.272774688809236,-0.552519053848453,-0.731573445420366,-0.0452509090530958,-0.112565752059476,-0.299699786120277,-0.491655255794583,-0.10208227090212,-0.780910404674682,0.792913944465059,0.873297842603518,0.499518587595865,-0.421669797923066,-0.220304303724644,0.331010205731099,-0.38341367762965,0.444147505677777
-0.833016916477943,-0.855704102834387,-0.489726987919855,0.4295676703777,0.331158904063088,-0.181181168201211,0.434688123273194,-0.303789675217118,-0.542922838910779,-0.732335639316146,-0.0863500396770539,-0.0678842087951979,-0.292848353736744,-0.525948072483226,-0.0791702488466132,-0.789342035942149,0.801923435170249,0.883272110689943,0.480737913232501,-0.398012363021839,-0.205998145064689,0.330255641134232,-0.367655257848483,0.458991616625711
-0.812902439218347,-0.821096950414437,-0.515952646274688,0.469589520989891,0.377075561725108,-0.147934904032609,0.469101575221787,-0.241554006664675,-0.594415835273412,-0.764399783705121,-0.0656698446700491,-0.0913397772917157,-0.265476069306791,-0.47352886470722,-0.0736487027809254,-0.76864439727641,0.800943349782205,0.875913024492727,0.494485350941,-0.416964948382897,-0.228111578375262,0.316318587043923,-0.385132336194956,0.434813096705603
-0.814778859951322,-0.825101755259648,-0.514109101952566,0.466213443771929,0.371649523937483,-0.153161133702004,0.465623599256291,-0.24934255503607,-0.586725452400979,-0.748324854659157,-0.0121814165560218,-0.14860483502896,-0.285615295494655,-0.441382381383812,-0.109808362650585,-0.761779477247333,0.804910912796097,0.878479298341356,0.489649584214828,-0.411346747828973,-0.227814114246785,0.31191115119169,-0.382803720659824,0.434771514691844
-0.819574501165172,-0.821590843334799,-0.506695953560723,0.460524792674704,0.38345880095405,-0.130414734348439,0.468015422025755,-0.230996950645833,-0.570466711938706,-0.760828831184072,-0.144385354452545,-0.0051348326606756,-0.25371436164206,-0.540408089258889,-0.0306645681166176,-0.783445706784236,0.79117064060693,0.87021511598938,0.504821901513251,-0.428697532153657,-0.226520818030181,0.328488991789635,-0.388964261973434,0.437319411834856
-0.812158945429661,-0.829039321790492,-0.517808291283484,0.468020395880043,0.360914982098453,-0.170749761273514,0.462046287615348,-0.265279628527431,-0.585984944400483,-0.768431774213375,-0.122960346800405,-0.0289509786793346,-0.251718878267902,-0.516389098450685,-0.0394421463026058,-0.777310781357224,0.785349971759265,0.87617695041455,0.49276485023459,-0.410377949471722,-0.194400059416273,0.35649777812852,-0.367117916068201,0.472758138433717
-0.812902439218347,-0.821096950414437,-0.515952646274688,0.469589520989891,0.377075561725108,-0.147934904032609,0.469101575221787,-0.241554006664675,-0.594415835273412,-0.764399783705121,-0.0656698446700491,-0.0913397772917157,-0.265476069306791,-0.47352886470722,-0.0736487027809254,-0.76864439727641,0.800943349782205,0.875913024492727,0.494485350941,-0.416964948382897,-0.228111578375262,0.316318587043923,-0.385132336194956,0.434813096705603
-0.811406842443575,-0.830082449172124,-0.518739912016601,0.468426241886555,0.357919045607629,-0.175548325785322,0.460998088457888,-0.269656614707589,-0.564113682886622,-0.744093875374696,-0.0685342089586518,-0.0877169102434526,-0.285063145163713,-0.498886569054238,-0.083121193776783,-0.780385842782937,0.785818894999624,0.873475239332447,0.498592296380138,-0.418480599344649,-0.204752687473715,0.349413007890039,-0.375043079594693,0.461633176927122
-0.823933886326726,-0.82139781270985,-0.500126003133583,0.454223672383927,0.388305598003415,-0.117532971699616,0.467384023591178,-0.222829995792995,-0.61132837401901,-0.790202253364748,-0.154033490090909,0.00480257694647276,-0.222059659075321,-0.513938015483236,-0.00876213816420548,-0.767977377576183,0.794365777649647,0.877993294017593,0.490772612299216,-0.40984378462987,-0.207908823809041,0.337796851917038,-0.373149686564999,0.457629287386513
-0.822264486556026,-0.83037121933987,-0.50473010052591,0.455127630092228,0.370057629201391,-0.145904301212771,0.460600801539629,-0.250588055393723,-0.598505980423108,-0.771279711943211,-0.0883063187210833,-0.0668995160756277,-0.255392089956237,-0.485198774180239,-0.0575456324931329,-0.769813389017973,0.802624200258029,0.879371974366332,0.488336791020003,-0.408770475228387,-0.220436207311803,0.319812697617721,-0.37845343521806,0.443197037628339
-0.800720822749883,-0.817033719025317,-0.531006025437443,0.485390896747069,0.370489340528909,-0.171386150358759,0.472673388388199,-0.252514985501816,-0.555530609522081,-0.740265391038017,-0.0806801871147258,-0.0743669750977153,-0.286718881646344,-0.513202857411565,-0.0783934426900398,-0.784739660840249,0.782006051290256,0.867306338523599,0.509743943716915,-0.433077543114811,-0.216895277020585,0.345298406346667,-0.386252841400965,0.44851593389124
-0.807227654096607,-0.829945681812834,-0.523645618406538,0.472990525370964,0.352965584843551,-0.186799678435032,0.460776802468233,-0.277115053021793,-0.551496831285345,-0.743327432190938,-0.116341053637776,-0.0354288430936768,-0.276769327835581,-0.538210871901211,-0.056371116188384,-0.788871081596935,0.780093983449408,0.870835114137584,0.50273269370475,-0.422819410239905,-0.201115774480664,0.357985036024066,-0.375031801166768,0.465852676341052
-0.796151009088653,-0.819727756793268,-0.536454808161945,0.489222386495219,0.359437261982405,-0.191067482877479,0.469708731064673,-0.268770508840055,-0.533493507937311,-0.72004863897391,-0.0553702507926546,-0.101161202514524,-0.308765296776899,-0.512328330955769,-0.102405355085092,-0.788501308507478,0.774695722158345,0.865725706335436,0.511638256431022,-0.433882585692649,-0.206348435377055,0.36023548672801,-0.381696838699917,0.460364310835358
-0.807062362681904,-0.823559077895821,-0.523810477128995,0.475959459892537,0.365526042044618,-0.170717767526247,0.467009657779069,-0.259169880714879,-0.520754008731567,-0.709972928371206,-0.0503654468198058,-0.106174306012603,-0.31816052126777,-0.517824833995294,-0.109970827591513,-0.791486367358491,0.786695030742806,0.867631764220588,0.509275609816056,-0.433733563072821,-0.225548643513974,0.334077056017453,-0.39046370422117,0.438652476593806
-0.800720822749883,-0.817033719025317,-0.531006025437443,0.485390896747069,0.370489340528909,-0.171386150358759,0.472673388388199,-0.252514985501816,-0.555530609522081,-0.740265391038017,-0.0806801871147258,-0.0743669750977153,-0.286718881646344,-0.513202857411565,-0.0783934426900398,-0.784739660840249,0.782006051290256,0.867306338523599,0.509743943716915,-0.433077543114811,-0.216895277020585,0.345298406346667,-0.386252841400965,0.44851593389124
-0.824673387169242,-0.840339283576538,-0.502140929170681,0.448400096945631,0.353275728539668,-0.165068239001277,0.451214027977172,-0.274480326551364,-0.475542932024382,-0.660373097909583,0.029569169734937,-0.190107298930316,-0.366259494543148,-0.48967462226727,-0.174236340039169,-0.787021307276239,0.806001626260996,0.876657751303567,0.492383056043754,-0.415642227407746,-0.235567294213274,0.304929123591907,-0.387978037420231,0.425928997105042
