"Tmin","l","c","FG","species"
-1.45147232462453,-6.88428266459555,-4.66270194698345,"Grass","Sp84"
-2.61145943152615,-6.37460960865929,-4.22484344085363,"Forb","Sp85"
-3.31153733487699,-6.24267965757279,-2.43990597975056,"Forb","Sp86"
-3.00082529007997,-6.26817556124584,-3.768530152585,"Forb","Sp87"
-2.60838339867815,-6.33957504000837,-4.60123031422582,"Forb","Sp88"
-1.63399069696092,-6.86099229956386,-3.47452847028364,"Forb","Sp89"
-2.31471431092484,-6.49227867527354,-4.73044263073226,"Forb","Sp90"
-3.53789733216176,-6.1122733208716,-3.14153360666845,"Forb","Sp91"
-1.4591029416956,-6.85601856526422,-4.56223559638942,"Forb","Sp92"
-2.96489463820852,-6.36595646393872,-2.62390604335132,"Forb","Sp93"
-2.58328222631856,-6.52837974659161,-3.08452605584577,"Forb","Sp94"
-1.32920583967502,-6.92482003267166,-4.12166952778076,"Forb","Sp95"
-4.44051568198748,-5.570123400688,-3.51499927978284,"Shrub","Sp96"
-1.68335270450917,-6.96558655058073,-2.3840266248112,"Forb","Sp97"
-3.40173007578364,-6.15987722911543,-2.5350424424194,"Forb","Sp98"
-1.70949928223067,-6.48189548696168,-6.72353237397998,"Forb","Sp99"
-0.811732142195714,-7.04508411233138,-5.39786730472006,"Forb","Sp100"
-3.374485195121,-6.17118323274352,-3.06010469625411,"Forb","Sp101"
-2.24735130398535,-6.63846439195636,-3.1967932772605,"Forb","Sp102"
-0.903211625414809,-7.12190224485684,-4.25002344864894,"Forb","Sp103"
-3.4692331779724,-6.11778787798927,-2.62325189006015,"Forb","Sp104"
-2.50156719229502,-6.44410691057573,-3.74621580250937,"Forb","Sp105"
-1.60421378284656,-6.71396515336917,-5.33455291661653,"Legumes","Sp106"
-2.96824485710041,-6.16691358923413,-4.41188169399999,"Legumes","Sp107"
-1.85341524785129,-6.58527713896028,-5.37727555337528,"Legumes","Sp108"
-1.21159710032622,-6.85518846617952,-5.29245714496056,"Legumes","Sp109"
-1.29311083818399,-6.81139261820166,-5.21082354549603,"Legumes","Sp110"
-3.78432980080296,-5.90125073718024,-3.25100594937672,"Legumes","Sp111"
-1.11883639864154,-6.98342438301498,-4.94051940402402,"Grass","Sp112"
-2.46679158169396,-6.5432549930667,-3.55109583155869,"Forb","Sp113"
-2.58943378843615,-6.40926479265543,-4.0116825694595,"Shrub","Sp114"
-2.99244029869528,-6.24608518818535,-4.14604511402184,"Shrub","Sp115"
-3.94458007501711,-5.92347858331709,-2.94590443240268,"Shrub","Sp116"
-4.87828578727481,-5.66859423510202,-1.31412502482827,"Forb","Sp117"
-2.11596554230445,-6.6091079950217,-3.71932083667046,"Forb","Sp118"
