"Tmin_phi1","l_phi1","c_phi1","Tmin_phi2","l_phi2","c_phi2","Tmin_a","l_a","c_a","Tmin_b","l_b","Lposterior","Llikelihood","Lprior"
-0.971706441984403,0.948810648889992,0.450165076705329,2.21962405219896,4.66607968787519,6.41505392470902,0.926915785947518,0.304692719009054,0.974562818277347,-2.8347423243267,-6.16170788731666,-3243.13509108766,-3236.64809973863,-6.4869913490245
-0.971325202077097,0.937373901189906,0.604039153663457,2.46086553773844,4.55315119431152,6.42807403415717,0.965607562054873,0.409051901177593,1.21187224712299,-2.08713762305664,-6.90068490152504,-3241.95976332418,-3236.04049135689,-5.9192719672898
-0.975041523384207,0.953920082534468,0.60493436271908,2.48003148993077,4.6422450058988,6.43666182919796,0.911720947960901,0.332365421226909,1.22786234827596,-2.36754117285804,-6.45667564404571,-3237.10456590104,-3232.33543950369,-4.76912639734484
-0.977655939457327,0.950922034106887,0.574733910212939,2.31923550538878,4.54645713539631,6.40329468704941,0.925606874384178,0.360542982389704,1.06095991626331,-2.28068204220914,-6.6202677867078,-3236.666891329,-3231.89687179759,-4.77001953140369
-0.974703133808489,0.94894115292432,0.550549380617398,2.37617098838767,4.61059739400636,6.42296549047533,0.951474027266524,0.360515255885109,1.1003503146205,-2.39295995467218,-6.55458814257326,-3234.64036631483,-3229.9487237834,-4.69164253143235
-0.972379105200498,0.945464056839845,0.578227207627577,2.37173378227372,4.57025620674507,6.3811967850311,0.996687925273597,0.384219793730908,1.136242065647,-2.35275270032001,-6.70919759858097,-3235.60446261741,-3230.57605560904,-5.02840700837856
-0.980113749150774,0.954981730741912,0.583997366092194,2.38602923954309,4.57426171092731,6.45250236884655,0.870919952718799,0.306294754882819,1.18767455302684,-2.48085420045143,-6.32241154230514,-3238.09958927868,-3233.21091680834,-4.88867247034132
-0.977655939457327,0.950922034106887,0.574733910212939,2.31923550538878,4.54645713539631,6.40329468704941,0.925606874384178,0.360542982389704,1.06095991626331,-2.28068204220914,-6.6202677867078,-3236.666891329,-3231.89687179759,-4.77001953140369
-0.971940566167673,0.933023094530256,0.602412884984737,2.18506133139046,4.53776262770095,6.31876048288144,0.831854470065559,0.299051221617648,1.0852160628309,-2.41493765698513,-6.44219349186171,-3241.34914750141,-3236.60413029117,-4.74501721023829
-0.97328095873831,0.94171952640657,0.591857271002725,2.31047726155436,4.55698832733281,6.38018514197109,0.925026138105313,0.375950305245821,1.14163813089175,-2.17203570907559,-6.69492307742734,-3236.51136311996,-3231.55743861476,-4.95392450520059
