"FPR","TPR","Model"
0.961850649350649,0.99390243902439,"jSDM-LVM"
0.961038961038961,0.99390243902439,"jSDM-LVM"
0.960227272727273,0.99390243902439,"jSDM-LVM"
0.959415584415584,0.99390243902439,"jSDM-LVM"
0.958603896103896,0.99390243902439,"jSDM-LVM"
0.957792207792208,0.99390243902439,"jSDM-LVM"
0.956980519480519,0.99390243902439,"jSDM-LVM"
0.956168831168831,0.99390243902439,"jSDM-LVM"
0.955357142857143,0.99390243902439,"jSDM-LVM"
0.954545454545455,0.99390243902439,"jSDM-LVM"
0.953733766233766,0.99390243902439,"jSDM-LVM"
0.952922077922078,0.99390243902439,"jSDM-LVM"
0.952922077922078,0.992682926829268,"jSDM-LVM"
0.95211038961039,0.992682926829268,"jSDM-LVM"
0.951298701298701,0.992682926829268,"jSDM-LVM"
0.950487012987013,0.992682926829268,"jSDM-LVM"
0.950487012987013,0.991463414634146,"jSDM-LVM"
0.949675324675325,0.991463414634146,"jSDM-LVM"
0.948863636363636,0.991463414634146,"jSDM-LVM"
0.948051948051948,0.991463414634146,"jSDM-LVM"
0.948051948051948,0.990243902439024,"jSDM-LVM"
0.94724025974026,0.990243902439024,"jSDM-LVM"
0.946428571428571,0.990243902439024,"jSDM-LVM"
0.945616883116883,0.990243902439024,"jSDM-LVM"
0.944805194805195,0.990243902439024,"jSDM-LVM"
0.943993506493507,0.990243902439024,"jSDM-LVM"
0.943181818181818,0.990243902439024,"jSDM-LVM"
0.94237012987013,0.990243902439024,"jSDM-LVM"
0.941558441558442,0.990243902439024,"jSDM-LVM"
0.940746753246753,0.990243902439024,"jSDM-LVM"
0.939935064935065,0.990243902439024,"jSDM-LVM"
0.939935064935065,0.989024390243902,"jSDM-LVM"
0.939123376623377,0.989024390243902,"jSDM-LVM"
0.938311688311688,0.989024390243902,"jSDM-LVM"
0.9375,0.989024390243902,"jSDM-LVM"
0.936688311688312,0.989024390243902,"jSDM-LVM"
0.935876623376623,0.989024390243902,"jSDM-LVM"
0.935064935064935,0.989024390243902,"jSDM-LVM"
0.934253246753247,0.989024390243902,"jSDM-LVM"
0.933441558441558,0.989024390243902,"jSDM-LVM"
0.93262987012987,0.989024390243902,"jSDM-LVM"
0.931818181818182,0.989024390243902,"jSDM-LVM"
0.931006493506493,0.989024390243902,"jSDM-LVM"
0.930194805194805,0.989024390243902,"jSDM-LVM"
0.929383116883117,0.989024390243902,"jSDM-LVM"
0.928571428571429,0.989024390243902,"jSDM-LVM"
0.928571428571429,0.98780487804878,"jSDM-LVM"
0.928571428571429,0.986585365853659,"jSDM-LVM"
0.928571428571429,0.985365853658537,"jSDM-LVM"
0.928571428571429,0.984146341463415,"jSDM-LVM"
0.92775974025974,0.984146341463415,"jSDM-LVM"
0.926948051948052,0.984146341463415,"jSDM-LVM"
0.926136363636364,0.984146341463415,"jSDM-LVM"
0.926136363636364,0.982926829268293,"jSDM-LVM"
0.925324675324675,0.982926829268293,"jSDM-LVM"
0.924512987012987,0.982926829268293,"jSDM-LVM"
0.923701298701299,0.982926829268293,"jSDM-LVM"
0.92288961038961,0.982926829268293,"jSDM-LVM"
0.922077922077922,0.982926829268293,"jSDM-LVM"
0.921266233766234,0.982926829268293,"jSDM-LVM"
0.921266233766234,0.981707317073171,"jSDM-LVM"
0.920454545454545,0.981707317073171,"jSDM-LVM"
0.919642857142857,0.981707317073171,"jSDM-LVM"
0.918831168831169,0.981707317073171,"jSDM-LVM"
0.918019480519481,0.981707317073171,"jSDM-LVM"
0.917207792207792,0.981707317073171,"jSDM-LVM"
0.916396103896104,0.981707317073171,"jSDM-LVM"
0.916396103896104,0.980487804878049,"jSDM-LVM"
0.915584415584416,0.980487804878049,"jSDM-LVM"
0.914772727272727,0.980487804878049,"jSDM-LVM"
